district_name,goal_count,metric_count,action_count,total_action_dollars,scorable_metrics,at_or_above_target,on_track,off_track,moving_away,positive_share,moving_away_share,progress_label,top_theme_by_dollars
"Anaheim Elementary School District - Anaheim, CA",5,29,29,84448942.0,17,8,9,0,0,1.0,0.0,Strong early trajectory,"Attendance, Belonging & School Climate"
Cypress School District,3,20,15,15015929.0,4,1,3,0,0,1.0,0.0,Limited evidence,Academic Achievement & Instruction
Garden Grove Unified School District,9,84,45,746997473.0,4,4,0,0,0,1.0,0.0,Limited evidence,Staffing & Professional Learning
Laguna Beach Unified School District,3,65,26,81741793.0,50,10,40,0,0,1.0,0.0,Strong early trajectory,Academic Achievement & Instruction
Los Alamitos Unified School District,3,36,23,5699219.0,12,8,4,0,0,1.0,0.0,Strong early trajectory,Academic Achievement & Instruction
Santa Ana Unified School District,5,43,40,811102541.99,1,1,0,0,0,1.0,0.0,Limited evidence,Academic Achievement & Instruction
Savanna Elementary School District,4,39,28,30030043.0,18,5,12,1,0,0.9444,0.0,Strong early trajectory,Staffing & Professional Learning
Fountain Valley School District,5,29,29,72262985.0,16,10,5,0,1,0.9375,0.0625,Strong early trajectory,Academic Achievement & Instruction
Fullerton Joint Union High School District,4,36,27,187944804.0,16,6,9,1,0,0.9375,0.0,Strong early trajectory,Academic Achievement & Instruction
Magnolia School District,4,35,37,27017670.0,15,3,11,1,0,0.9333,0.0,Strong early trajectory,Academic Achievement & Instruction
Anaheim Union High School District,6,84,30,173635011.2,47,17,26,3,1,0.9149,0.0213,Strong early trajectory,"College, Career & Graduation"
Tustin Unified School District,6,52,36,23626963.0,10,9,0,1,0,0.9,0.0,Strong early trajectory,Academic Achievement & Instruction
Ocean View School District,3,63,21,63444473.0,33,5,24,4,0,0.8788,0.0,Strong early trajectory,Staffing & Professional Learning
Buena Park Elementary School District,4,35,54,24222910.0,8,5,2,0,1,0.875,0.125,Limited evidence,Academic Achievement & Instruction
Rowland Unified School District,6,39,44,144415870.0,15,4,9,2,0,0.8667,0.0,Strong early trajectory,Staffing & Professional Learning
La Habra City School District,5,31,41,21599472.0,19,5,11,3,0,0.8421,0.0,Strong early trajectory,Academic Achievement & Instruction
Huntington Beach City School District,5,30,28,33796224.0,12,2,8,2,0,0.8333,0.0,Strong early trajectory,Other / uncategorized
Westminster School District,5,32,31,135529210.0,12,3,7,1,1,0.8333,0.0833,Strong early trajectory,Staffing & Professional Learning
Saddleback Valley Unified School District,4,54,108,38843826.0,23,16,3,2,2,0.8261,0.087,Strong early trajectory,Academic Achievement & Instruction
Placentia Yorba Linda Unified School District,10,115,141,244029673.29,62,7,42,6,7,0.7903,0.1129,Mostly on track,Staffing & Professional Learning
Irvine Unified School District,5,52,62,279600028.0,32,25,0,0,7,0.7812,0.2188,Mostly on track,Special Education & Inclusion
Fullerton School District,4,40,32,185247710.0,11,6,2,1,2,0.7273,0.1818,Mostly on track,Staffing & Professional Learning
Capistrano Unified School District,5,76,50,51559876.0,15,6,4,2,3,0.6667,0.2,Mostly on track,Academic Achievement & Instruction
Brea Olinda Unified School District,5,39,87,44096035.0,11,2,5,1,3,0.6364,0.2727,Mostly on track,Academic Achievement & Instruction
Orange Unified School District,4,71,57,403388231.0,30,4,12,9,5,0.5333,0.1667,Mixed trajectory,Staffing & Professional Learning
Centralia Elementary School District,3,18,30,11322862.0,10,4,1,5,0,0.5,0.0,Mixed trajectory,Academic Achievement & Instruction
Lowell Joint School District,6,46,59,41611715.0,2,0,1,1,0,0.5,0.0,Limited evidence,Staffing & Professional Learning
Huntington Beach Union High School District,4,56,31,176223583.0,0,0,0,0,0,0.0,0.0,Limited evidence,Staffing & Professional Learning
Newport-Mesa Unified School District,6,72,115,296680188.0,0,0,0,0,0,0.0,0.0,Limited evidence,Academic Achievement & Instruction
